[datetime.datetime(2019, 11, 4, 0, 0, 1, 726517), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 5, 1, 746745), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 10, 1, 872919), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 15, 1, 823798), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 20, 2, 81142), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 25, 2, 610644), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 30, 1, 959225), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 35, 1, 976337), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 40, 2, 222577), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 45, 1, 991804), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 50, 2, 290110), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 0, 55, 2, 619777), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 1, 0, 2, 5378), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 1, 5, 2, 351903), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 1, 10, 2, 274815), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 1, 15, 2, 284586), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 1, 20, 2, 595968), {'all': {'len': 35, 'sum': 108.95000000000002}, 'pa': {'len': 11, 'sum': 106.74000000000001}, 'tbs': {'len': 16, 'sum': 1.4819999999999998}}]
[datetime.datetime(2019, 11, 4, 1, 25, 1, 806612), {'all': {'len': 18, 'sum': 1.4959999999999996}, 'pa': {'len': 12, 'sum': 0.98}, 'tbs': {'len': 2, 'sum': 0.16599999999999998}}]
[datetime.datetime(2019, 11, 4, 1, 30, 1, 744841), {'all': {'len': 29, 'sum': 3.4560000000000004}, 'pa': {'len': 1, 'sum': 0.094}, 'tbs': {'len': 18, 'sum': 2.1799999999999997}}]
[datetime.datetime(2019, 11, 4, 1, 35, 1, 697810), {'all': {'len': 11, 'sum': 1.244}, 'pa': {'len': 3, 'sum': 0.28700000000000003}, 'tbs': {'len': 4, 'sum': 0.417}}]
[datetime.datetime(2019, 11, 4, 1, 40, 2, 438055), {'all': {'len': 11, 'sum': 1.21}, 'pa': {'len': 2, 'sum': 0.201}, 'tbs': {'len': 2, 'sum': 0.196}}]
[datetime.datetime(2019, 11, 4, 1, 50, 2, 388986), {'all': {'len': 28, 'sum': 2.928}, 'pa': {'len': 3, 'sum': 0.363}, 'tbs': {'len': 21, 'sum': 2.167}}]
[datetime.datetime(2019, 11, 4, 1, 55, 2, 356253), {'all': {'len': 3, 'sum': 0.22999999999999998}, 'pa': {'len': 3, 'sum': 0.22999999999999998}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 2, 0, 2, 121677), {'all': {'len': 20, 'sum': 2.1229999999999998}, 'pa': {'len': 2, 'sum': 0.22899999999999998}, 'tbs': {'len': 9, 'sum': 0.923}}]
[datetime.datetime(2019, 11, 4, 2, 5, 1, 904018), {'all': {'len': 18, 'sum': 1.7009999999999998}, 'pa': {'len': 4, 'sum': 0.392}, 'tbs': {'len': 7, 'sum': 0.641}}]
[datetime.datetime(2019, 11, 4, 2, 10, 2, 202104), {'all': {'len': 17, 'sum': 1.5679999999999998}, 'pa': {'len': 1, 'sum': 0.107}, 'tbs': {'len': 8, 'sum': 0.713}}]
[datetime.datetime(2019, 11, 4, 2, 15, 1, 936939), {'all': {'len': 1, 'sum': 0.21}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 1, 'sum': 0.21}}]
[datetime.datetime(2019, 11, 4, 2, 20, 1, 975122), {'all': {'len': 6, 'sum': 0.586}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 4, 'sum': 0.37600000000000006}}]
[datetime.datetime(2019, 11, 4, 2, 30, 2, 5713), {'all': {'len': 8, 'sum': 0.8010000000000002}, 'pa': {'len': 1, 'sum': 0.09}, 'tbs': {'len': 4, 'sum': 0.44500000000000006}}]
[datetime.datetime(2019, 11, 4, 2, 35, 1, 983018), {'all': {'len': 11, 'sum': 1.001}, 'pa': {'len': 2, 'sum': 0.186}, 'tbs': {'len': 3, 'sum': 0.263}}]
[datetime.datetime(2019, 11, 4, 2, 45, 1, 795252), {'all': {'len': 11, 'sum': 1.04}, 'pa': {'len': 4, 'sum': 0.374}, 'tbs': {'len': 4, 'sum': 0.385}}]
[datetime.datetime(2019, 11, 4, 3, 0, 1, 954837), {'all': {'len': 18, 'sum': 1.89}, 'pa': {'len': 3, 'sum': 0.293}, 'tbs': {'len': 10, 'sum': 1.056}}]
[datetime.datetime(2019, 11, 4, 3, 5, 1, 955401), {'all': {'len': 9, 'sum': 0.8180000000000001}, 'pa': {'len': 3, 'sum': 0.26}, 'tbs': {'len': 2, 'sum': 0.21}}]
[datetime.datetime(2019, 11, 4, 3, 10, 1, 804295), {'all': {'len': 11, 'sum': 1.1660000000000001}, 'pa': {'len': 1, 'sum': 0.1}, 'tbs': {'len': 6, 'sum': 0.66}}]
[datetime.datetime(2019, 11, 4, 3, 15, 1, 876991), {'all': {'len': 7, 'sum': 0.678}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 3, 'sum': 0.29800000000000004}}]
[datetime.datetime(2019, 11, 4, 3, 20, 1, 670943), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 3, 25, 2, 249904), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 3, 30, 1, 863899), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 3, 35, 2, 344866), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 3, 40, 1, 919181), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 4, 3, 45, 2, 330866), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
