[datetime.datetime(2019, 11, 9, 0, 0, 1, 776180), {'all': {'len': 16, 'sum': 1.7310000000000003}, 'pa': {'len': 3, 'sum': 0.356}, 'tbs': {'len': 7, 'sum': 0.806}}]
[datetime.datetime(2019, 11, 9, 0, 5, 2, 135734), {'all': {'len': 27, 'sum': 2.8449999999999998}, 'pa': {'len': 2, 'sum': 0.246}, 'tbs': {'len': 24, 'sum': 2.509}}]
[datetime.datetime(2019, 11, 9, 0, 10, 1, 807531), {'all': {'len': 19, 'sum': 1.7879999999999998}, 'pa': {'len': 4, 'sum': 0.384}, 'tbs': {'len': 11, 'sum': 1.076}}]
[datetime.datetime(2019, 11, 9, 0, 15, 2, 468214), {'all': {'len': 33, 'sum': 3.088}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 22, 'sum': 2.058}}]
[datetime.datetime(2019, 11, 9, 0, 20, 2, 479772), {'all': {'len': 17, 'sum': 1.7039999999999997}, 'pa': {'len': 2, 'sum': 0.18}, 'tbs': {'len': 6, 'sum': 0.5920000000000001}}]
[datetime.datetime(2019, 11, 9, 0, 25, 2, 112772), {'all': {'len': 15, 'sum': 1.321}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 9, 'sum': 0.8479999999999999}}]
[datetime.datetime(2019, 11, 9, 0, 30, 2, 178822), {'all': {'len': 12, 'sum': 1.1520000000000001}, 'pa': {'len': 2, 'sum': 0.17099999999999999}, 'tbs': {'len': 7, 'sum': 0.702}}]
[datetime.datetime(2019, 11, 9, 0, 35, 2, 459221), {'all': {'len': 10, 'sum': 1.004}, 'pa': {'len': 2, 'sum': 0.197}, 'tbs': {'len': 5, 'sum': 0.513}}]
[datetime.datetime(2019, 11, 9, 0, 40, 1, 985860), {'all': {'len': 20, 'sum': 2.092}, 'pa': {'len': 2, 'sum': 0.263}, 'tbs': {'len': 16, 'sum': 1.6119999999999999}}]
[datetime.datetime(2019, 11, 9, 0, 45, 2, 401498), {'all': {'len': 13, 'sum': 1.196}, 'pa': {'len': 1, 'sum': 0.093}, 'tbs': {'len': 8, 'sum': 0.7170000000000001}}]
[datetime.datetime(2019, 11, 9, 0, 50, 2, 240351), {'all': {'len': 17, 'sum': 1.6559999999999997}, 'pa': {'len': 3, 'sum': 0.257}, 'tbs': {'len': 8, 'sum': 0.8150000000000001}}]
[datetime.datetime(2019, 11, 9, 0, 55, 2, 497086), {'all': {'len': 11, 'sum': 1.007}, 'pa': {'len': 2, 'sum': 0.184}, 'tbs': {'len': 3, 'sum': 0.27}}]
[datetime.datetime(2019, 11, 9, 1, 0, 1, 784489), {'all': {'len': 10, 'sum': 0.962}, 'pa': {'len': 3, 'sum': 0.257}, 'tbs': {'len': 4, 'sum': 0.444}}]
[datetime.datetime(2019, 11, 9, 1, 10, 2, 497303), {'all': {'len': 7, 'sum': 0.637}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 6, 'sum': 0.5469999999999999}}]
[datetime.datetime(2019, 11, 9, 1, 15, 2, 534272), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 1, 20, 1, 804523), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 1, 25, 2, 223212), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 9, 1, 30, 2, 114927), {'all': {'len': 0, 'sum': 0}, 'pa': {'len': 0, 'sum': 0}, 'tbs': {'len': 0, 'sum': 0}}]
