[datetime.datetime(2019, 11, 11, 0, 0, 2, 533548), {'all': {'len': 17, 'sum': 330.111}, 'pa': {'len': 17, 'sum': 330.111}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 5, 1, 801702), {'all': {'len': 17, 'sum': 365.2990000000001}, 'pa': {'len': 17, 'sum': 365.2990000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 10, 2, 159652), {'all': {'len': 17, 'sum': 292.74800000000005}, 'pa': {'len': 17, 'sum': 292.74800000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 15, 2, 413860), {'all': {'len': 16, 'sum': 276.131}, 'pa': {'len': 16, 'sum': 276.131}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 20, 1, 716441), {'all': {'len': 18, 'sum': 343.751}, 'pa': {'len': 18, 'sum': 343.751}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 25, 2, 366732), {'all': {'len': 17, 'sum': 308.249}, 'pa': {'len': 17, 'sum': 308.249}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 30, 2, 367696), {'all': {'len': 15, 'sum': 263.588}, 'pa': {'len': 15, 'sum': 263.588}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 35, 1, 983715), {'all': {'len': 17, 'sum': 277.799}, 'pa': {'len': 17, 'sum': 277.799}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 40, 1, 769566), {'all': {'len': 18, 'sum': 333.562}, 'pa': {'len': 18, 'sum': 333.562}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 45, 2, 16163), {'all': {'len': 17, 'sum': 301.111}, 'pa': {'len': 17, 'sum': 301.111}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 50, 2, 222034), {'all': {'len': 16, 'sum': 269.037}, 'pa': {'len': 16, 'sum': 269.037}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 0, 55, 2, 403342), {'all': {'len': 18, 'sum': 315.24899999999997}, 'pa': {'len': 18, 'sum': 315.24899999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 0, 2, 658839), {'all': {'len': 18, 'sum': 345.857}, 'pa': {'len': 18, 'sum': 345.857}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 5, 1, 753248), {'all': {'len': 17, 'sum': 356.2180000000001}, 'pa': {'len': 17, 'sum': 356.2180000000001}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 10, 2, 335877), {'all': {'len': 16, 'sum': 301.60200000000003}, 'pa': {'len': 16, 'sum': 301.60200000000003}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 15, 2, 417774), {'all': {'len': 17, 'sum': 284.39699999999993}, 'pa': {'len': 17, 'sum': 284.39699999999993}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 20, 2, 314923), {'all': {'len': 18, 'sum': 359.06500000000005}, 'pa': {'len': 18, 'sum': 359.06500000000005}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 25, 1, 841385), {'all': {'len': 17, 'sum': 277.93799999999993}, 'pa': {'len': 17, 'sum': 277.93799999999993}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 30, 2, 154585), {'all': {'len': 17, 'sum': 320.895}, 'pa': {'len': 17, 'sum': 320.895}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 35, 2, 458360), {'all': {'len': 16, 'sum': 288.513}, 'pa': {'len': 16, 'sum': 288.513}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 40, 2, 558784), {'all': {'len': 16, 'sum': 264.041}, 'pa': {'len': 16, 'sum': 264.041}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 45, 2, 603048), {'all': {'len': 18, 'sum': 337.795}, 'pa': {'len': 18, 'sum': 337.795}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 50, 1, 989666), {'all': {'len': 17, 'sum': 311.01599999999996}, 'pa': {'len': 17, 'sum': 311.01599999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 1, 55, 1, 861393), {'all': {'len': 16, 'sum': 274.982}, 'pa': {'len': 16, 'sum': 274.982}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 0, 1, 814025), {'all': {'len': 16, 'sum': 290.046}, 'pa': {'len': 16, 'sum': 290.046}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 5, 2, 89946), {'all': {'len': 17, 'sum': 294.79}, 'pa': {'len': 17, 'sum': 294.79}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 10, 2, 532955), {'all': {'len': 18, 'sum': 315.77599999999995}, 'pa': {'len': 18, 'sum': 315.77599999999995}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 15, 2, 254028), {'all': {'len': 16, 'sum': 298.945}, 'pa': {'len': 16, 'sum': 298.945}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 20, 2, 309710), {'all': {'len': 16, 'sum': 284.441}, 'pa': {'len': 16, 'sum': 284.441}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 25, 2, 234379), {'all': {'len': 18, 'sum': 307.54699999999997}, 'pa': {'len': 18, 'sum': 307.54699999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 30, 1, 960073), {'all': {'len': 18, 'sum': 371.141}, 'pa': {'len': 18, 'sum': 371.141}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 35, 2, 182611), {'all': {'len': 17, 'sum': 299.073}, 'pa': {'len': 17, 'sum': 299.073}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 40, 1, 874592), {'all': {'len': 16, 'sum': 339.102}, 'pa': {'len': 16, 'sum': 339.102}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 45, 1, 939791), {'all': {'len': 17, 'sum': 266.386}, 'pa': {'len': 17, 'sum': 266.386}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 50, 1, 888860), {'all': {'len': 19, 'sum': 342.95}, 'pa': {'len': 19, 'sum': 342.95}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 2, 55, 2, 673787), {'all': {'len': 16, 'sum': 320.109}, 'pa': {'len': 16, 'sum': 320.109}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 0, 1, 772935), {'all': {'len': 16, 'sum': 261.86199999999997}, 'pa': {'len': 16, 'sum': 261.86199999999997}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 5, 2, 659649), {'all': {'len': 16, 'sum': 253.87300000000002}, 'pa': {'len': 16, 'sum': 253.87300000000002}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 10, 2, 486693), {'all': {'len': 17, 'sum': 313.45200000000006}, 'pa': {'len': 17, 'sum': 313.45200000000006}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 15, 2, 205752), {'all': {'len': 17, 'sum': 305.859}, 'pa': {'len': 17, 'sum': 305.859}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 20, 2, 297712), {'all': {'len': 16, 'sum': 326.83599999999996}, 'pa': {'len': 16, 'sum': 326.83599999999996}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 25, 2, 581191), {'all': {'len': 16, 'sum': 277.934}, 'pa': {'len': 16, 'sum': 277.934}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 30, 1, 939625), {'all': {'len': 19, 'sum': 317.475}, 'pa': {'len': 18, 'sum': 317.372}, 'tbs': {'len': 0, 'sum': 0}}]
[datetime.datetime(2019, 11, 11, 3, 35, 2, 137513), {'all': {'len': 17, 'sum': 305.981}, 'pa': {'len': 17, 'sum': 305.981}, 'tbs': {'len': 0, 'sum': 0}}]
